Jahr,Wort des Jahres,2. und 3. Platz,Unwort des Jahres,Satz des Jahres,Jugendwort des Jahres
1971,aufmüpfig,"Junktim;
Umweltschutz",,,
1977,Szene,"Terrorismus, Terrorist;
Sympathisant",,,
1978,konspirative Wohnung,"die Grünen;
Geisterfahrer",,,
1979,Holocaust,"Boat people;
Nachrüstung",,,
1980,Rasterfahndung,"Asylant;
Instandbesetzer",,,
1981,Nulllösung,"Sommertheater;
(rett)bar",,,
1982,Ellenbogengesellschaft,"Wende;
Mitte",,,
1983,heißer Herbst,"Volksaushorchung;
Zündi",,,
1984,Umweltauto,"Formaldehyd;
Neidsteuer",,,
1985,Glykol,"SDI;
EUREKA",,,
1986,Tschernobyl,"Havarie;
Super-Gau",,,
1987,"Aids, Kondom","Perestroika, Glasnost;
Waterkantgate",,,
1988,Gesundheitsreform,"Robbensterben;
Kälbermastskandal",,,
1989,Reisefreiheit,"BRDDR;
Montagsdemonstrationen",,,
1990,die neuen Bundesländer,"vereintes Deutschland;
2+4-Gespräche",,,
1991,Besserwessi,"abwickeln;
Kurzarbeit Null",ausländerfrei,,
1992,Politikverdrossenheit,"Fremdenhass;
Rassismus",ethnische Säuberung,,
1993,Sozialabbau,"Standort Deutschland;
Blutskandal",Überfremdung,,
1994,Superwahljahr,"Jackpot;
Unwort",Peanuts,,
1995,Multimedia,"Eurogeld;
Kruzifixurteil",Diätenanpassung,,
1996,Sparpaket,"Haushaltslöcher;
Lohnfortzahlung",Rentnerschwemme,,
1997,Reformstau,"Ruck durch Deutschland;
Bildungsmisere",Wohlstandsmüll (arbeitsunfähige Kranke),,
1998,Rot-Grün,"Viagra;
neue Mitte",sozialverträgliches Frühableben,,
1999,Millennium,"Kosovokrieg;
Generation @",Kollateralschaden,,
2000,Schwarzgeldaffäre,"BSE-Krise;
Greencard",national befreite Zone,,
2001,der 11. September,"Anti-Terror-Krieg;
Milzbrandattacke",Gotteskrieger,„Und das ist (auch) gut so!“ (Klaus Wowereit),
2002,Teuro,"PISA-Schock;
Jahrtausendflut",Ich-AG,„Es gibt nur ein’ Rudi Völler!“,
2003,das alte Europa,"Agenda 2010;
Reformstreit",Tätervolk,„Deutschland sucht den Superstar.“,
2004,Hartz IV,"Parallelgesellschaften;
Pisa-gebeutelte Nation",Humankapital,,
2005,Bundeskanzlerin,"Wir sind Papst;
Tsunami",Entlassungsproduktivität,,
2006,Fanmeile,"Generation Praktikum;
Karikaturenstreit",freiwillige Ausreise,,
2007,Klimakatastrophe,"Herdprämie;
Raucherkneipe",Herdprämie,,
2008,Finanzkrise,"verzockt;
 Datenklau",notleidende Banken,,Gammelfleischparty
2009,Abwrackprämie,"kriegsähnliche Zustände;
Schweinegrippe",betriebsratsverseucht,,hartzen
2010,Wutbürger,"Stuttgart 21;
Sarrazin-Gen",alternativlos,,Niveaulimbo
2011,Stresstest,"hebeln;
Arabellion",Döner-Morde,,Swag
2012,Rettungsroutine,"Kanzlerpräsidentin;
Bildungsabwendungsprämie",Opfer-Abo,,YOLO
2013,GroKo,"Protz-Bischof;
Armutseinwanderung",Sozialtourismus,,Babo
2014,Lichtgrenze,"Schwarze Null;
Götzseidank",Lügenpresse,,Läuft bei dir
2015,Flüchtlinge,"Je suis Charlie;
Grexit",Gutmensch,,Smombie
2016,postfaktisch,"Brexit;
Silvesternacht",Volksverräter,,fly sein
2017,Jamaika-Aus,"Ehe für alle;
#MeToo",Alternative Fakten,,i bims
2018,Heißzeit,"Funklochrepublik;
Ankerzentren",Anti-Abschiebe-Industrie,,Ehrenmann/Ehrenfrau
2019,Respektrente,"Rollerchaos;
Fridays for Future",Klimahysterie,,
2020,Corona-Pandemie,"Lockdown;
Verschwörungserzählung",Rückführungspatenschaften und Corona-Diktatur,,lost
2021,Wellenbrecher,"SolidAHRität, Pflexit",Pushback,,cringe
2022,Zeitenwende,"Krieg um Frieden;
Gaspreisbremse",Klimaterroristen,,smash
2023,Krisenmodus,"Antisemitismus;
leseunfähig",Remigration,,goofy
