回,年度,年間大賞,受賞者
8,1991年,…じゃあ〜りませんか,チャーリー浜
9,1992年,"「うれしいような、かなしいような」
「はだかのおつきあい」",きんさんぎんさん
10,1993年,Jリーグ,川淵三郎（初代Jリーグチェアマン、後に初代B.LEAGUEチェアマン）
11,1994年,すったもんだがありました,宮沢りえ
11,1994年,イチロー（効果）,イチロー（プロ野球オリックス・ブルーウェーブ外野手）
11,1994年,同情するならカネをくれ,安達祐実
12,1995年,無党派,青島幸男（東京都知事）
12,1995年,NOMO,野茂英雄（ロサンゼルス・ドジャース）
12,1995年,がんばろうKOBE,仰木彬（プロ野球オリックス・ブルーウェーブ監督）
13,1996年,自分で自分をほめたい,有森裕子（マラソン選手）
13,1996年,友愛 / 排除の論理,鳩山由紀夫（民主党代表）
13,1996年,メークドラマ,長嶋茂雄（読売ジャイアンツ監督）
14,1997年,失楽園（する）,渡辺淳一、黒木瞳
15,1998年,ハマの大魔神,佐々木主浩（プロ野球横浜ベイスターズ投手）
15,1998年,凡人・軍人・変人,田中真紀子（衆議院議員）
15,1998年,だっちゅーの,パイレーツ（お笑いコンビ）
16,1999年,ブッチホン,小渕恵三（第84代内閣総理大臣）
16,1999年,リベンジ,松坂大輔（プロ野球西武ライオンズ投手）
16,1999年,雑草魂,上原浩治（読売ジャイアンツ）
17,2000年,おっはー,慎吾ママ（香取慎吾）
17,2000年,IT革命,木下斉（商店街ネットワーク社長・当時早稲田大学高等学院三年）
18,2001年,"「小泉語録」
（米百俵・聖域なき構造改革・
恐れず怯まず捉われず・骨太の方針・
ワイドショー内閣・改革の「痛み」）",小泉純一郎（第86代内閣総理大臣）
19,2002年,タマちゃん,"佐々木裕司（第一発見者で川崎市中原区在住の一般市民）
黒住祐子（フジテレビ『スーパーニュース』レポーター）"
19,2002年,W杯（中津江村）,坂本休（大分県中津江村長）
20,2003年,毒まんじゅう,野中広務（元衆議院議員）
20,2003年,なんでだろう〜,テツandトモ（お笑いグループ）
20,2003年,マニフェスト,北川正恭（早稲田大学教授）
21,2004年,チョー気持ちいい,北島康介（水泳選手）
22,2005年,小泉劇場,武部勤（第39代自由民主党幹事長）
22,2005年,想定内（外）,堀江貴文（ライブドア社長）
23,2006年,イナバウアー,荒川静香（プロスケーター）
23,2006年,品格,藤原正彦（数学者）
24,2007年,（宮崎を）どげんかせんといかん,東国原英夫（宮崎県知事）
24,2007年,ハニカミ王子,石川遼（ゴルファー）
25,2008年,グ〜!,エド・はるみ
25,2008年,アラフォー,天海祐希
26,2009年,政権交代,鳩山由紀夫（第93代内閣総理大臣）
27,2010年,ゲゲゲの〜,武良布枝（『ゲゲゲの女房』作者）
28,2011年,なでしこジャパン,"小倉純二（日本サッカー協会会長）
代理：上田栄治（日本サッカー協会女子委員会委員長）"
29,2012年,ワイルドだろぉ,スギちゃん
30,2013年,今でしょ!,林修（東進ハイスクール・東進衛星予備校講師）
30,2013年,お・も・て・な・し,滝川クリステル
30,2013年,じぇじぇじぇ,"宮藤官九郎
能年玲奈"
30,2013年,倍返し,"堺雅人
TBSテレビ『半沢直樹』チーム"
31,2014年,ダメよ〜ダメダメ,日本エレキテル連合（中野聡子、橋本小雪）
31,2014年,集団的自衛権,受賞者辞退（受賞者が誰だったのかは明かされていない）
32,2015年,爆買い,羅怡文（ラオックス代表取締役社長）
32,2015年,トリプルスリー,"柳田悠岐（福岡ソフトバンクホークス）
山田哲人（東京ヤクルトスワローズ）"
33,2016年,神ってる,"緒方孝市（広島東洋カープ監督）
鈴木誠也（広島東洋カープ外野手）"
34,2017年,インスタ映え,CanCam it girl
34,2017年,忖度,稲本ミノル（株式会社ヘソプロダクション代表取締役）
35,2018年,そだねー,ロコ・ソラーレ（平昌オリンピックカーリング女子日本代表）
36,2019年,ONE TEAM,ラグビーワールドカップ2019 日本代表
37,2020年,3密,小池百合子（第21代東京都知事）
38,2021年,リアル二刀流/ショータイム,大谷翔平（MLBロサンゼルス・エンゼルス選手）
39,2022年,村神様,村上宗隆（東京ヤクルトスワローズ外野手）
40,2023年,アレ（A.R.E）,岡田彰布（阪神タイガース監督）
